Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Fuel Type (fuel_type),Category (category),Registrations (registrations)
"2022-02-01","Gujarat","24","Modasa","GJ31","Petrol","Fuel","847.0"
"2021-12-01","Mizoram","15","Lunglei","MZ2","Petrol","Fuel","134.0"
"2019-04-01","Odisha","21","Bhubaneswar Rto","OR2","Petrol/Cng","Fuel","70.0"
"2023-07-01","Tamil Nadu","33","Namakkal (South) Rto","TN88","Petrol/Ethanol","Fuel","37.0"
"2019-01-01","Haryana","06","Tosham","HR48","Petrol","Fuel","289.0"
"2021-02-01","Andhra Pradesh","28","Ravulapalem Uo","AP705","Petrol","Fuel","865.0"
"2021-10-01","Punjab","03","Rto Malerkotla","PB28","Petrol/Hybrid","Fuel","1.0"
"2019-09-01","Andhra Pradesh","28","Narasaraopet Rta","AP107","Electric(Bov)","Fuel","1.0"
"2023-02-01","Haryana","06","Bahadurgarh","HR13","Petrol","Fuel","503.0"
"2022-05-01","Punjab","03","Sdm Dinanagar","PB99","Petrol","Fuel","14.0"
"2021-02-01","Kerala","32","Trivandrum Rto","KL1","Petrol/Lpg","Fuel","28.0"
"2019-10-01","Meghalaya","17","Ampati","ML14","Petrol","Fuel","79.0"
"2024-04-01","Haryana","06","Faridabad","HR51","Petrol/Cng","Fuel","243.0"
"2019-05-01","Kerala","32","Sulthanbathery Srto","KL73","Diesel/Hybrid","Fuel","1.0"
"2023-03-01","West Bengal","19","Katwa Arto","WB75","Electric(Bov)","Fuel","6.0"
"2023-06-01","Uttar Pradesh","09","Etawah","UP75","Petrol/Hybrid","Fuel","8.0"
"2023-06-01","Madhya Pradesh","23","Jabalpur Rto","MP20","Petrol/Ethanol","Fuel","20.0"
"2023-01-01","Maharashtra","27","Nandurbar","MH39","Petrol/Cng","Fuel","2.0"
"2022-10-01","Haryana","06","Panipat","HR6","Diesel","Fuel","182.0"
"2021-05-01","Tamil Nadu","33","Chennai (North) Rto","TN5","Petrol/Lpg","Fuel","1.0"
"2019-05-01","Uttar Pradesh","09","Badaun","UP24","Electric(Bov)","Fuel","15.0"
"2022-07-01","West Bengal","19","Baruipur Arto","WB95","Lpg Only","Fuel","10.0"
"2019-08-01","Odisha","21","Khordha Arto","OR201","Not Applicable","Fuel","7.0"
"2023-05-01","Maharashtra","27","Nagpur (Rural)","MH40","Petrol","Fuel","2513.0"
"2023-09-01","Tamil Nadu","33","Coimbatore (North) Rto","TN38","Diesel","Fuel","210.0"
"2022-07-01","Odisha","21","Bhadrak Rto","OR22","Petrol/Cng","Fuel","3.0"
"2021-02-01","Goa","30","Mapusa Rto","GA3","Petrol/Cng","Fuel","2.0"
"2021-05-01","Uttarakhand","05","Haldwani Rto","UK4","Electric(Bov)","Fuel","5.0"
"2021-07-01","Kerala","32","Payyannur Srto","KL86","Diesel","Fuel","54.0"
"2019-09-01","Haryana","06","Kosli","HR43","Petrol/Cng","Fuel","11.0"
"2022-08-01","West Bengal","19","Contai Arto","WB31","Diesel","Fuel","86.0"
"2023-12-01","Uttar Pradesh","09","Jhansirto","UP93","Electric(Bov)","Fuel","531.0"
"2020-12-01","Andhra Pradesh","28","Narsipatnam Mvi Office","AP331","Diesel","Fuel","20.0"
"2024-05-01","Tamil Nadu","33","Poonamallee Rto","TN511","Lpg Only","Fuel","4.0"
"2019-10-01","Haryana","06","Sonepat","HR10","Petrol/Hybrid","Fuel","12.0"
"2019-06-01","Bihar","10","Buxur","BR44","Electric(Bov)","Fuel","12.0"
"2021-04-01","Gujarat","24","Junagadh","GJ11","Petrol/Cng","Fuel","20.0"
"2023-06-01","Andhra Pradesh","28","Vuyyuru Uo","AP516","Petrol/Hybrid","Fuel","17.0"
"2023-10-01","Andhra Pradesh","28","Nandigama Rta","AP316","Petrol/Ethanol","Fuel","3.0"
"2023-08-01","Tamil Nadu","33","Tenkasi Rto","TN76","Electric(Bov)","Fuel","35.0"
"2023-02-01","Kerala","32","Pathanamthitta Rto","KL3","Diesel","Fuel","34.0"
"2020-01-01","Kerala","32","Thaliparamba Srto","KL59","Petrol/Cng","Fuel","2.0"
"2024-05-01","Andhra Pradesh","28","Tenali Uo","AP707","Petrol","Fuel","556.0"
"2023-04-01","Karnataka","29","Puttur Rto","KA21","Electric(Bov)","Fuel","62.0"
"2020-04-01","Haryana","06","Rta, Hisar","HR39","Diesel","Fuel","98.0"
"2020-11-01","Karnataka","29","Bengaluru North Rto","KA4","Cng Only","Fuel","1.0"
"2022-04-01","Kerala","32","Idukki Rto","KL6","Diesel","Fuel","31.0"
"2019-09-01","Odisha","21","Angul Rto","OR19","Diesel/Hybrid","Fuel","2.0"
"2020-10-01","Chhattisgarh","22","Mahasamund Dto","CG6","Petrol/Hybrid","Fuel","15.0"
"2019-09-01","Madhya Pradesh","23","Indore Rto","MP9","Petrol/Cng","Fuel","359.0"
"2021-06-01","Rajasthan","08","Karoli Dto","RJ34","Petrol/Hybrid","Fuel","8.0"
"2023-04-01","Maharashtra","27","Ambejogai","MH44","Petrol/Hybrid","Fuel","6.0"
"2020-09-01","Himachal Pradesh","02","Rla Pooh","HP27","Petrol","Fuel","30.0"
"2019-12-01","Nagaland","13","Tuensang Dto","NL3","Diesel","Fuel","6.0"
"2022-10-01","Jammu And Kashmir","01","Reasi Arto","JK20","Diesel","Fuel","42.0"
"2019-07-01","Tamil Nadu","33","Paramakudi Uo","TN603","Diesel/Hybrid","Fuel","1.0"
"2020-11-01","Punjab","03","Sdm Khamano","PB49","Diesel","Fuel","6.0"
"2019-04-01","Puducherry","34","Bahour","PY11","Petrol/Hybrid","Fuel","4.0"
"2020-04-01","Maharashtra","27","Thane","MH4","Petrol/Hybrid","Fuel","1.0"
"2021-04-01","Jharkhand","20","Godda","JH17","Electric(Bov)","Fuel","7.0"
"2020-02-01","Uttar Pradesh","09","Jaunpur","UP62","Diesel","Fuel","675.0"
"2022-08-01","Haryana","06","Rta, Karnal","HR45","Petrol/Cng","Fuel","8.0"
"2022-03-01","Gujarat","24","Banaskantha","GJ8","Petrol/Hybrid","Fuel","9.0"
"2024-04-01","Himachal Pradesh","02","Rla Balh","HP82","Diesel","Fuel","34.0"
"2019-07-01","Puducherry","34","Puducherry","PY1","Diesel/Hybrid","Fuel","2.0"
"2019-04-01","Chhattisgarh","22","Baloda Bazar Dto","CG22","Not Applicable","Fuel","11.0"
"2019-04-01","Uttar Pradesh","09","Ghazipur","UP61","Petrol","Fuel","2223.0"
"2019-04-01","Uttar Pradesh","09","Noida","UP16","Diesel/Hybrid","Fuel","31.0"
"2023-09-01","Punjab","03","Sdm Bholath","PB57","Petrol","Fuel","88.0"
"2024-01-01","Tamil Nadu","33","Erode Rto","TN33","Petrol/Ethanol","Fuel","70.0"
"2019-07-01","Odisha","21","Sonepur Rto","OR31","Diesel/Hybrid","Fuel","1.0"
"2021-11-01","Karnataka","29","Mandya Rto","KA11","Petrol/Cng","Fuel","2.0"
"2024-05-01","Kerala","32","Ottappalam Srto","KL51","Electric(Bov)","Fuel","64.0"
"2019-09-01","Gujarat","24","Kachchh","GJ12","Not Applicable","Fuel","4.0"
"2023-03-01","West Bengal","19","Arambag Arto","WB18","Diesel","Fuel","71.0"
"2023-04-01","Tamil Nadu","33","Coimbatore (North) Rto","TN38","Petrol/Cng","Fuel","4.0"
"2019-12-01","Tamil Nadu","33","Ambur Uo","TN628","Petrol","Fuel","258.0"
"2021-03-01","West Bengal","19","Jangipur Arto","WB93","Petrol/Hybrid","Fuel","3.0"
"2023-06-01","Kerala","32","Vaikom Srto","KL36","Petrol","Fuel","262.0"
"2021-06-01","Jammu And Kashmir","01","Budgam Arto","JK4","Petrol","Fuel","590.0"
"2022-05-01","West Bengal","19","Haldia Arto","WB32","Diesel","Fuel","18.0"
"2019-09-01","Tamil Nadu","33","Chennai (West) Rto","TN9","Petrol/Hybrid","Fuel","17.0"
"2022-02-01","Kerala","32","Thriprayar Srto","KL75","Diesel","Fuel","38.0"
"2021-10-01","Haryana","06","Sdm Beri","HR77","Diesel","Fuel","41.0"
"2022-07-01","Andhra Pradesh","28","Vizianagaram Rta","AP35","Electric(Bov)","Fuel","52.0"
"2023-03-01","Assam","18","Charaideo","AS33","Petrol/Ethanol","Fuel","3.0"
"2021-11-01","Uttarakhand","05","Haridwar Arto","UK8","Petrol/Hybrid","Fuel","9.0"
"2023-04-01","Uttar Pradesh","09","Bandarto","UP90","Petrol/Lpg","Fuel","16.0"
"2022-09-01","Rajasthan","08","Bharatpur Rto","RJ5","Petrol","Fuel","1375.0"
"2023-07-01","Tamil Nadu","33","Ranipet Rto","TN73","Diesel","Fuel","112.0"
"2020-06-01","Arunachal Pradesh","12","Yupia","AR2","Petrol","Fuel","19.0"
"2024-01-01","Madhya Pradesh","23","Rewa Rto","MP17","Petrol","Fuel","2900.0"
"2020-10-01","Andhra Pradesh","28","Markapur Uo","AP327","Diesel","Fuel","169797.0"
"2023-11-01","Tamil Nadu","33","Madurai (North) Rto","TN59","Lpg Only","Fuel","4.0"
"2020-05-01","Madhya Pradesh","23","Rewa Rto","MP17","Not Applicable","Fuel","1.0"
"2022-09-01","Jharkhand","20","Deoghar","JH15","Petrol/Hybrid","Fuel","8.0"
"2021-03-01","Karnataka","29","Athani Arto","KA71","Diesel","Fuel","136.0"
"2019-05-01","Tamil Nadu","33","Coimbatore (South) Rto","TN37","Diesel","Fuel","239.0"
"2021-02-01","Haryana","06","Ambala City","HR1","Petrol/Hybrid","Fuel","5.0"
"2020-08-01","Haryana","06","Charkhi Dadri","HR19","Petrol/Cng","Fuel","34.0"
"2022-06-01","Delhi","07","Sarai Kale Khan","DL6","Petrol","Fuel","1331.0"
"2021-06-01","Delhi","07","Wazirpur","DL8","Petrol/Hybrid","Fuel","105.0"
"2021-08-01","Madhya Pradesh","23","Dindori Dto","MP52","Petrol","Fuel","255.0"
"2019-04-01","Uttar Pradesh","09","Sahjahanpur","UP27","Petrol/Cng","Fuel","3.0"
"2023-09-01","Tamil Nadu","33","Perundurai Rto","TN56","Cng Only","Fuel","4.0"
"2019-08-01","Himachal Pradesh","02","Rla Shimla(Rural)","HP51","Diesel","Fuel","22.0"
"2020-11-01","Punjab","03","Rto Muktsar Sahib","PB30","Petrol/Cng","Fuel","1.0"
"2019-01-01","Chandigarh","04","Chandigarh Ut (Rla And Sta)","CH1","Diesel/Hybrid","Fuel","16.0"
"2023-02-01","Bihar","10","Araria","BR38","Petrol/Hybrid","Fuel","11.0"
"2019-02-01","Meghalaya","17","Shillong","ML5","Petrol","Fuel","881.0"
"2023-05-01","Haryana","06","Panchkula","HR3","Petrol/Hybrid","Fuel","24.0"
"2020-09-01","Gujarat","24","Navsari","GJ21","Cng Only","Fuel","5.0"
"2022-11-01","Punjab","03","Rto Barnala","PB19","Diesel","Fuel","81.0"
"2020-11-01","Tamil Nadu","33","Chennai (West) Rto","TN9","Petrol/Lpg","Fuel","1.0"
"2023-04-01","Rajasthan","08","Sahapura (Bhilwara) Dto","RJ51","Not Applicable","Fuel","9.0"
"2020-05-01","Tamil Nadu","33","Gummidipoondi Uo","TN625","Petrol","Fuel","54.0"
"2022-12-01","Uttar Pradesh","09","Bareilly","UP25","Petrol/Cng","Fuel","131.0"
"2023-09-01","Jharkhand","20","Simdega","JH20","Petrol/Ethanol","Fuel","5.0"
"2023-11-01","Tamil Nadu","33","Salem (South) Rto","TN90","Diesel","Fuel","29.0"
"2019-04-01","Jharkhand","20","East Singhbhum (Jamshedpur)","JH5","Diesel/Hybrid","Fuel","3.0"
"2022-03-01","Haryana","06","Sdm Ambala Cantonment","HR85","Petrol","Fuel","833.0"
"2021-04-01","West Bengal","19","Bangaon Arto","WB27","Lpg Only","Fuel","7.0"
"2019-08-01","Kerala","32","Perumbavur Srto","KL40","Petrol/Hybrid","Fuel","1.0"
"2019-04-01","Kerala","32","Mananthavady Srto","KL72","Petrol/Cng","Fuel","1.0"
"2023-10-01","Kerala","32","Vellarikundu Srto","KL79","Cng Only","Fuel","6.0"
"2024-01-01","Odisha","21","Bhubaneswar Rto","OR2","Diesel/Hybrid","Fuel","5.0"
"2023-01-01","Andhra Pradesh","28","Rta Machilipatnam","AP216","Not Applicable","Fuel","2.0"
"2019-12-01","Odisha","21","Jagatsinghpur Rto","OR21","Diesel","Fuel","114.0"
"2023-10-01","Jammu And Kashmir","01","Jammu Rto","JK2","Electric(Bov)","Fuel","488.0"
"2021-08-01","Arunachal Pradesh","12","East Siang","AR9","Petrol","Fuel","162.0"
"2021-01-01","Madhya Pradesh","23","Raisen Dto","MP38","Petrol/Cng","Fuel","1.0"
"2020-01-01","Haryana","06","Narnaul","HR35","Diesel","Fuel","165.0"
"2023-06-01","Madhya Pradesh","23","Neemuch Dto","MP44","Petrol","Fuel","977.0"
"2021-10-01","Haryana","06","Sonepat","HR10","Petrol","Fuel","677.0"
"2020-02-01","Jammu And Kashmir","01","Kupwara Arto","JK9","Petrol","Fuel","543.0"
"2023-05-01","Tamil Nadu","33","Ambur Uo","TN628","Petrol/Hybrid","Fuel","2.0"
"2023-05-01","Karnataka","29","Dharwad West Rto","KA25","Petrol/Cng","Fuel","24.0"
"2019-01-01","Uttar Pradesh","09","Kaushambi","UP73","Petrol","Fuel","1321.0"
"2019-01-01","Tamil Nadu","33","Melur Uo","TN600","Petrol","Fuel","507.0"
"2023-02-01","Madhya Pradesh","23","Mandsaur Arto","MP14","Electric(Bov)","Fuel","21.0"
"2024-04-01","Uttar Pradesh","09","Mau","UP54","Petrol/Cng","Fuel","60.0"
"2022-04-01","Uttarakhand","05","Vikas Nagar Arto","UK16","Petrol/Hybrid","Fuel","1.0"
"2023-04-01","Karnataka","29","Regional Transport Office Belagavi","KA22","Petrol/Hybrid","Fuel","43.0"
"2023-08-01","Tamil Nadu","33","Tambaram Rto","TN513","Diesel","Fuel","275.0"
"2024-03-01","West Bengal","19","Uluberia Arto","WB13","Petrol","Fuel","1253.0"
"2023-04-01","Punjab","03","Sdm Banga","PB78","Diesel","Fuel","14.0"
